순번,담당,기업명
6001,14번,성도엔지니어링
6002,14번,피브이에이치코리아
6003,14번,리드스피커코리아
6004,14번,선진물류
6005,14번,진모빌리티
6006,14번,디와이홀딩컴퍼니
6007,14번,품
6008,14번,세명이엔지
6009,14번,티와이엠
6010,14번,지엘중
6011,14번,성진
6012,14번,엘에이치종합건설
6013,14번,함평어민영어조합법인
6014,14번,영도금속
6015,14번,경인냉열에스코
6016,14번,모션파이브
6017,14번,동호이엔지
6018,14번,노석건설
6019,14번,한비이일
6020,14번,대영테크
6021,14번,다원
6022,14번,케이에이치리텍
6023,14번,새로닉스
6024,14번,케이아이에스정보통신(주)옥천부산방향휴게소
6025,14번,금천
6026,14번,디엘팜
6027,14번,레터스그룹
6028,14번,휴릭스
6029,14번,라미솔루션
6030,14번,한국품질경영연구원
6031,14번,윈플라텍
6032,14번,문배나눔선교재단
6033,14번,포미비앤엠
6034,14번,서울석유(주)장충주유소
6035,14번,"광주,전남레미콘"
6036,14번,세무법인경원
6037,14번,코리아세븐인천남구청점
6038,14번,호국산업
6039,14번,현대자동차(주)상용시트
6040,14번,전엔지니어링
6041,14번,동우플라스틱
6042,14번,한진종합가스
6043,14번,테라시스
6044,14번,금수강산고속관광
6045,14번,아워홈대성목재인천점
6046,14번,도솔산림산업
6047,14번,진심코리아
6048,14번,전북제일학사
6049,14번,임성페이퍼
6050,14번,신원건설
6051,14번,금용건설
6052,14번,조은날
6053,14번,티피엠에스
6054,14번,세븐일레븐일산동주점
6055,14번,중부토건
6056,14번,대덕폐차사업소
6057,14번,신동와인(주)청담점
6058,14번,월급날
6059,14번,사회복지법인장산
6060,14번,엔씨텍크놀로지
6061,14번,평산종합건설
6062,14번,청우종합건설
6063,14번,페리온어학원
6064,14번,비봉산관광
6065,14번,대명제분
6066,14번,한국온실작물연구소
6067,14번,제이앤원키친
6068,14번,한아름
6069,14번,영남정보통신
6070,14번,와이즈웨딩
6071,14번,와이엠디
6072,14번,파이릭스건설
6073,14번,브레이브엔터테인먼트
6074,14번,서울시립은평노인종합복지관
6075,14번,동성이앤지
6076,14번,광개토
6077,14번,온푸른
6078,14번,마이팝
6079,14번,다인엔시스
6080,14번,유엔약품
6081,14번,무브
6082,14번,건양종합건설
6083,14번,그린콤
6084,14번,에스월드
6085,14번,비제이팜
6086,14번,선문그린사이언스(주)전주
6087,14번,알엔알파트너스그룹
6088,14번,태현에스디
6089,14번,제이엔프리모
6090,14번,포앤비
6091,14번,다원텍
6092,14번,라온저축은행
6093,14번,유투
6094,14번,점앤선
6095,14번,승환종합건설
6096,14번,용민건설
6097,14번,동일스위트
6098,14번,태림종합건설
6099,14번,지에스씨
6100,14번,씨에스건설
6101,14번,춘천교육대학교산학협력단
6102,14번,당진세명물류
6103,14번,미래건설산업
6104,14번,코스코엠알오
6105,14번,대림오토
6106,14번,건설환경품질연구원
6107,14번,은성케미칼
6108,14번,팀케이필름
6109,14번,에스에이기업
6110,14번,아워홈새한미디어충주점
6111,14번,유진피앤앨
6112,14번,로보웰
6113,14번,엘투케이알
6114,14번,초당약품공업(주)안산공장
6115,14번,제주물마루된장학교영농조합법인
6116,14번,세화프라스틱
6117,14번,진명플러스
6118,14번,대일테크놀러지
6119,14번,모던테크
6120,14번,미래재생
6121,14번,댄
6122,14번,수에프앤에스
6123,14번,상현이앤지
6124,14번,알엔디
6125,14번,함께하는시소
6126,14번,광성전업
6127,14번,페어뷰디벨롭먼트
6128,14번,위페이퍼
6129,14번,아라파트너스
6130,14번,짚트랙코리아
6131,14번,유티모스트아이엔에스
6132,14번,세기에너지
6133,14번,세한이엔지
6134,14번,신성석건
6135,14번,뉴로벤티
6136,14번,호반영농조합법인
6137,14번,강한손
6138,14번,상봉정밀
6139,14번,주원종합건설
6140,14번,태일이엔씨
6141,14번,인티그럴송도
6142,14번,캐스
6143,14번,과일드림
6144,14번,스퀘어베이스
6145,14번,서경전기
6146,14번,키트솔루션
6147,14번,국제여객
6148,14번,영진포장
6149,14번,헬로우팜
6150,14번,한라프랜트
6151,14번,남호
6152,14번,에스티에스시스템
6153,14번,삼일조경
6154,14번,유덕농산
6155,14번,태종종합건설
6156,14번,에스엠코퍼레이션
6157,14번,이엔비
6158,14번,성진켐텍
6159,14번,현대엠시트
6160,14번,대한기전
6161,14번,상문
6162,14번,한탑디앤씨
6163,14번,베델원
6164,14번,국제냉동
6165,14번,에스에스티엠
6166,14번,제이엑스메탈
6167,14번,성원상사
6168,14번,토지정보서비스
6169,14번,스위트북
6170,14번,삼육오푸드원
6171,14번,하나엘리베이터
6172,14번,어바웃굿즈
6173,14번,홍익산업개발
6174,14번,대주건설산업
6175,14번,사회복지법인한마음
6176,14번,엔투
6177,14번,디엔브이비즈니스어슈어런스코리아
6178,14번,듀코젠
6179,14번,굿앤굿트레이드
6180,14번,제이앤팩코리아
6181,14번,앤앤씨월드
6182,14번,대련엠티에스
6183,14번,매직월드
6184,14번,대청산업
6185,14번,동서산업
6186,14번,심텍21
6187,14번,리엔
6188,14번,연세산업개발
6189,14번,우주산업
6190,14번,제이앤케이
6191,14번,렛츠슬림
6192,14번,미르싸이텍
6193,14번,대신인쇄
6194,14번,우주상사
6195,14번,원영종합건설
6196,14번,성원
6197,14번,화성종합건설
6198,14번,온유소프트
6199,14번,농업회사법인호천식품
6200,14번,알피피
6201,14번,청양기술개발
6202,14번,태영종합건설
6203,14번,케이엔하이텍
6204,14번,지앤티글로벌
6205,14번,고신통상
6206,14번,신영피앤피
6207,14번,디컨에스앤에스
6208,14번,다래월드
6209,14번,엘림투어
6210,14번,아첼에프앤씨
6211,14번,천하레포츠첨단점
6212,14번,문경환경
6213,14번,정도기전
6214,14번,한성
6215,14번,숲드림
6216,14번,태산종합엔지니어링
6217,14번,오성전기소방
6218,14번,웰컴어소씨에이츠
6219,14번,강서건영
6220,14번,맥산서울사무소
6221,14번,담양실업
6222,14번,하배런메디엔뷰티
6223,14번,하이브로우컴퍼니
6224,14번,모비딕
6225,14번,대승정밀
6226,14번,안산레이저
6227,14번,내쇼날이에스
6228,14번,오산원개발
6229,14번,고운국제교류사업회
6230,14번,엔피씨앤에이
6231,14번,동운
6232,14번,뷰토피아
6233,14번,비에프솔루션즈
6234,14번,기영테크
6235,14번,삼성건설
6236,14번,한국역사연구회
6237,14번,국도
6238,14번,우성케어
6239,14번,덕유
6240,14번,정림컨설팅
6241,14번,퓨오바이더스
6242,14번,엘커뮤니케이션
6243,14번,파파몽
6244,14번,의료법인희정의료재단
6245,14번,비지에스에스아이센터
6246,14번,우정기계
6247,14번,청라
6248,14번,우솔환경기술연구원
6249,14번,한솔레미콘
6250,14번,라이브하이브
6251,14번,두양이앤지
6252,14번,우리부동산디앤씨
6253,14번,로임시스템
6254,14번,디엠텍스타일
6255,14번,엔바이어스
6256,14번,이원산업
6257,14번,한양엠텍
6258,14번,세라텍
6259,14번,한국카라반
6260,14번,빅바이오젠
6261,14번,씨엔비테크
6262,14번,네오드림스
6263,14번,코어씨앤씨
6264,14번,코와리
6265,14번,동백운수
6266,14번,이너웨이브
6267,14번,여성문화예술기획
6268,14번,알피니언메디칼시스템
6269,14번,아륙전기
6270,14번,인스틸
6271,14번,애니사이언
6272,14번,헤이컴온
6273,14번,필플러스
6274,14번,엠엔티켐텍
6275,14번,요진산업개발
6276,14번,심로악기
6277,14번,삼성유기급식사업단 영농조합법인
6278,14번,라온테크
6279,14번,동보테크
6280,14번,시래기밥상
6281,14번,상지모양건축사사무소
6282,14번,한반도중기
6283,14번,연우
6284,14번,신신기획
6285,14번,학산서종지점
6286,14번,부산사하지역자활센터
6287,14번,하이플러스인
6288,14번,위켄드랩
6289,14번,수정약품
6290,14번,우림외벽
6291,14번,신보2019제8차유동화전문
6292,14번,행복아이티
6293,14번,케이앤더블유
6294,14번,성현토건
6295,14번,케이비건설기계
6296,14번,제이알
6297,14번,제이디글로텍
6298,14번,태성콘텍
6299,14번,공감아이앤씨
6300,14번,파토스
6301,14번,삼미상사(주)북인천주유소
6302,14번,퍼퓸그라피
6303,14번,베스트토요타일산서비스
6304,14번,나날에스엠아이
6305,14번,바른파트너2016
6306,14번,대동이엔지
6307,14번,경석종합건설
6308,14번,광영학원
6309,14번,엔피축산몰
6310,14번,협신산업
6311,14번,화일정공
6312,14번,모아에이엔씨
6313,14번,상명엔지니어링
6314,14번,합동경동택배
6315,14번,양평의료재단
6316,14번,유니크스튜디오
6317,14번,태경코엠
6318,14번,케이디팜
6319,14번,문연전기
6320,14번,코썸사이언스
6321,14번,와토솔루션
6322,14번,성진테크
6323,14번,우진씨엔지
6324,14번,헌팅에스앤디
6325,14번,코리아세븐익산영등점
6326,14번,한음이엔지
6327,14번,다우실란트산업
6328,14번,코베아
6329,14번,웨이브쓰리디
6330,14번,인곡산업
6331,14번,소나기크리에이티브
6332,14번,삼송종합건설
6333,14번,헤디
6334,14번,죽향콩영농조합법인
6335,14번,메디포럼
6336,14번,아이쓰리디디자인
6337,14번,한자태양광
6338,14번,동서에코글로벌
6339,14번,모노앤밀키코리아
6340,14번,임오
6341,14번,어반피아
6342,14번,휴앤아이
6343,14번,동궁건설
6344,14번,삼일피엔에프
6345,14번,브랜드라인
6346,14번,피아노버스
6347,14번,지엔에프탑
6348,14번,다맥
6349,14번,성준정기
6350,14번,다온산업
6351,14번,맛조이코리아
6352,14번,이지산업개발
6353,14번,나인시스템
6354,14번,세븐일레븐김해활천점
6355,14번,오드펠터미널코리아
6356,14번,권진건설
6357,14번,대경티엘에스
6358,14번,아이낸스
6359,14번,청우식품춘천영업소
6360,14번,신우
6361,14번,인핸드플러스
6362,14번,팁탑
6363,14번,다움디앤씨
6364,14번,우진
6365,14번,제이에스코리아
6366,14번,강화한돈영농조합법인
6367,14번,라이트제림
6368,14번,태광산업
6369,14번,은진페이퍼
6370,14번,한양제작소
6371,14번,성지종합건설
6372,14번,티티씨에듀
6373,14번,미오이너아트
6374,14번,주택관리공단
6375,14번,엠택코리아
6376,14번,유빅스코리아
6377,14번,지비소프트
6378,14번,이블루
6379,14번,안리쓰코퍼레이션
6380,14번,금오아이엠티
6381,14번,버시스
6382,14번,한국릴리
6383,14번,동시테크
6384,14번,에스아이에스
6385,14번,아토디자인
6386,14번,해양트레이딩
6387,14번,볼팅마스타
6388,14번,티에스관리산업
6389,14번,아텍스
6390,14번,엠케이종합개발
6391,14번,한국여성노동자회
6392,14번,에스씨민이노베이션
6393,14번,제이티애드넷
6394,14번,화음건설
6395,14번,에버피아코리아
6396,14번,서울텔엔지니어링
6397,14번,화석엔지니어링
6398,14번,열린종합건설
6399,14번,원플랜트기술
6400,14번,원광제약
6401,14번,온딜
6402,14번,동준건설
6403,14번,프로레드코리아
6404,14번,트라이코지
6405,14번,대도엔지니어링
6406,14번,보보인터내셔널
6407,14번,시에이치건설
6408,14번,포휠즈
6409,14번,어린이도서연구회
6410,14번,항진티앤디
6411,14번,엘케이개발
6412,14번,홍일건설
6413,14번,두리피앤에스
6414,14번,나라전력
6415,14번,선의의료재단
6416,14번,경일감정평가법인경인지사
6417,14번,솔브레인에스엘디
